,UDI,Product ID,Type,Air temperature [K],Rotational speed [rpm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
38,1469,M16328,M,298.6,0.31621459575454774,115.0,False,False,False,False,False,False
39,6247,H35660,H,300.8,0.31621459575727784,182.0,False,False,False,False,False,False
40,3791,L50970,L,302.3,0.31621459575401106,28.0,False,False,False,False,False,False
41,6594,L53773,L,301.6,0.31621459576859723,10.0,False,False,False,False,False,False
42,547,L47726,L,297.5,0.3162145957727993,110.0,False,False,False,False,False,False
43,7874,L55053,L,300.7,0.31621459575814537,56.0,False,False,False,False,False,False
44,7321,H36734,H,299.8,0.31621459575393346,161.0,False,False,False,False,False,False
45,7296,M22155,M,300.1,0.31621459574670757,99.0,False,False,False,False,False,False
46,7919,L55098,L,300.8,0.31621459576032923,173.0,False,False,False,False,False,False
47,6432,L53611,L,300.0085898275486,0.31621459574901273,26.0,False,False,False,False,False,False
48,7499,M22358,M,300.2,0.3162145957709891,184.0,False,False,False,False,False,False
49,2928,M17787,M,300.7,0.31621459575469907,165.0,False,False,False,False,False,False
50,4411,L51590,L,302.5,0.3162145957646478,64.0,False,False,False,False,False,False
51,4402,H33815,H,302.2,0.316214595758014,38.0,False,False,False,False,False,False
52,7264,L54443,L,300.4,0.3162145957552956,19.0,False,False,False,False,False,False
53,4224,L51403,L,302.0,0.31621459576774535,37.0,False,False,False,False,False,False
54,1645,L48824,L,298.0,0.31621459576628885,121.0,False,False,False,False,False,False
55,3931,M18790,M,302.6,0.31621459577781114,174.0,False,False,False,False,False,False
56,6775,H36188,H,301.2,0.3162145957709572,35.0,False,False,False,False,False,False
57,7135,M21994,M,300.5,0.3162145957535421,119.0,False,False,False,False,False,False
58,9125,L56304,L,297.4,0.31621459575507355,70.0,False,False,False,False,False,False
59,803,L47982,L,300.0085898275486,0.31621459576391714,102.0,False,False,False,False,False,False
60,5907,L53086,L,300.0085898275486,0.31621459576193006,198.0,False,False,False,False,False,False
61,6142,L53321,L,300.8,0.31621459575917027,146.0,False,False,False,False,False,False
62,6140,L53319,L,300.8,0.3162145957646478,142.0,False,False,False,False,False,False
63,3581,L50760,L,301.8,0.3162145957674643,126.0,False,False,False,False,False,False
64,7405,L54584,L,299.8,0.3162145957630011,161.0,False,False,False,False,False,False
65,3094,L50273,L,300.0,0.3162145957528229,108.0,False,False,False,False,False,False
66,3379,L50558,L,301.5,0.3162145957637675,38.0,False,False,False,False,False,False
67,4407,L51586,L,302.5,0.3162145957464071,55.0,True,False,True,False,False,False
68,4654,M19513,M,303.1,0.3162145957650259,13.0,False,False,False,False,False,False
69,6593,M21452,M,301.6,0.31621459575727784,7.0,False,False,False,False,False,False
70,1945,L49124,L,298.1,0.31621459577229166,63.0,False,False,False,False,False,False
71,9582,L56761,L,299.4,0.31621459575447175,10.0,False,False,False,False,False,False
72,9294,L56473,L,298.3,0.3162145957558784,93.0,False,False,False,False,False,False
73,2452,L49631,L,299.2,0.3162145957674643,93.0,False,False,False,False,False,False
74,5324,M20183,M,303.4,0.31621459575298444,34.0,False,False,False,False,False,False
75,2008,L49187,L,300.0085898275486,0.3162145957634646,25.0,False,False,False,False,False,False
76,564,L47743,L,297.7,0.3162145957617088,153.0,False,False,False,False,False,False
77,7379,L54558,L,299.5,0.31621459575208416,94.0,False,False,False,False,False,False
78,368,M15227,M,297.6,0.3162145957638175,93.0,False,False,False,False,False,False
79,1313,L48492,L,298.9,0.3162145957583411,164.0,False,False,False,False,False,False
80,4825,L52004,L,303.4,0.31621459575996985,16.0,False,False,False,False,False,False
81,1368,M16227,M,298.8,0.31621459576440747,75.0,False,False,False,False,False,False
82,9997,H39410,H,298.9,0.31621459576671834,17.0,False,False,False,False,False,False
83,1695,L48874,L,298.0,0.316214595766114,31.0,False,False,False,False,False,False
84,8568,L55747,L,298.0,0.31621459576068267,114.0,False,False,False,False,False,False
85,4710,M19569,M,303.4,0.3162145957565181,163.0,False,False,False,False,False,False
86,3605,L50784,L,301.8,0.3162145957632085,190.0,False,False,False,False,False,False
87,5942,L53121,L,300.6,0.31621459575595035,78.0,True,False,False,False,False,False
88,2173,L49352,L,299.5,0.3162145957729911,15.0,False,False,False,False,False,False
89,3718,H33131,H,302.3,0.3162145957563067,51.0,False,False,False,False,False,False
90,37,M14896,M,298.9,0.31621459576440747,101.0,False,False,False,False,False,False
91,4017,L51196,L,302.1,0.3162145957677851,186.0,False,False,False,False,False,False
92,4732,L51911,L,303.3,0.3162145957437895,219.0,True,False,True,False,False,False
93,4468,L51647,L,302.8,0.31621459576607,207.0,False,False,False,False,False,False
94,6641,L53820,L,300.0085898275486,0.3162145957472021,133.0,False,False,False,False,False,False
95,3312,L50491,L,301.3,0.31621459575741334,92.0,False,False,False,False,False,False
96,5445,L52624,L,303.0,0.31621459577752203,102.0,False,False,False,False,False,False
97,6179,L53358,L,301.1,0.31621459574165556,10.0,True,False,False,True,False,False
98,9258,M24117,M,298.3,0.31621459574324057,201.0,False,False,False,False,False,False
99,5455,L52634,L,303.0,0.3162145957575482,127.0,False,False,False,False,False,False
100,8324,H37737,H,298.7,0.31621459575700434,108.0,False,False,False,False,False,False
101,539,M15398,M,297.4,0.31621459575996985,88.0,False,False,False,False,False,False
102,6356,L53535,L,300.1,0.31621459575885497,34.0,False,False,False,False,False,False
103,7175,L54354,L,300.2,0.3162145957617643,15.0,False,False,False,False,False,False
104,220,M15079,M,298.3,0.31621459575566147,148.0,False,False,False,False,False,False
105,1455,L48634,L,299.1,0.3162145957552218,87.0,False,False,False,False,False,False
106,2661,L49840,L,299.8,0.3162145957426827,188.0,False,False,False,False,False,False
107,7649,L54828,L,300.4,0.3162145957629489,135.0,False,False,False,False,False,False
108,5111,M19970,M,304.0,0.3162145957704695,126.0,False,False,False,False,False,False
109,4118,L51297,L,301.9,0.31621459574778543,204.0,True,False,False,False,True,False
110,2662,M17521,M,299.9,0.3162145957605655,190.0,False,False,False,False,False,False
111,5214,M20073,M,303.7,0.3162145957552956,189.0,False,False,False,False,False,False
112,487,M15346,M,297.4,0.3162145957644558,180.0,False,False,False,False,False,False
113,2709,L49888,L,299.6,0.31621459578084865,79.0,False,False,False,False,False,False
114,4919,L52098,L,303.3,0.31621459575727784,48.0,False,False,False,False,False,False
115,271,H29684,H,298.0,0.31621459576120203,51.0,False,False,False,False,False,False
116,4858,L52037,L,303.7,0.3162145957655784,103.0,False,False,False,False,False,False
117,531,M15390,M,297.6,0.31621459576968663,65.0,False,False,False,False,False,False
118,5479,L52658,L,302.7,0.3162145957658036,186.0,False,False,False,False,False,False
119,7142,M22001,M,300.4,0.316214595749289,136.0,False,False,False,False,False,False
120,3591,L50770,L,301.8,0.3162145957533045,151.0,False,False,False,False,False,False
121,8131,H37544,H,300.0,0.31621459575249705,45.0,False,False,False,False,False,False
122,9495,L56674,L,300.0085898275486,0.3162145957609728,219.0,False,False,False,False,False,False
123,756,H30169,H,296.8,0.3162145957595429,222.0,False,False,False,False,False,False
124,6670,L53849,L,301.4,0.31621459576391714,208.0,False,False,False,False,False,False
125,2322,M17181,M,299.2,0.3162145957451765,108.0,False,False,False,False,False,False
126,4856,L52035,L,303.7,0.31621459575098126,98.0,False,False,False,False,False,False
127,8285,L55464,L,298.8,0.31621459576750477,0.0,False,False,False,False,False,False
128,315,M15174,M,297.9,0.3162145957436805,172.0,False,False,False,False,False,False
129,7032,L54211,L,300.7,0.31621459575872757,108.0,False,False,False,False,False,False
130,5919,L53098,L,300.0085898275486,0.31621459576236544,108.0,False,False,False,False,False,False
131,6626,M21485,M,301.6,0.31621459575469907,108.0,False,False,False,False,False,False
132,7251,M22110,M,300.1,0.3162145957552956,206.0,False,False,False,False,False,False
133,5347,L52526,L,303.4,0.31621459576198496,98.0,False,False,False,False,False,False
134,2551,L49730,L,299.4,0.3162145957501919,116.0,False,False,False,False,False,False
135,1515,M16374,M,298.1,0.31621459576654787,12.0,False,False,False,False,False,False
136,728,H30141,H,297.3,0.31621459575996985,147.0,False,False,False,False,False,False
137,7750,L54929,L,300.4,0.3162145957684077,172.0,False,False,False,False,False,False
138,9507,H38920,H,299.3,0.31621459576273875,25.0,False,False,False,False,False,False
139,7477,L54656,L,300.2,0.3162145957595429,128.0,False,False,False,False,False,False
140,4339,L51518,L,301.6,0.3162145957528229,102.0,False,False,False,False,False,False
141,833,L48012,L,296.6,0.316214595761259,173.0,False,False,False,False,False,False
142,5697,H35110,H,302.5,0.3162145957650726,112.0,False,False,False,False,False,False
143,3783,L50962,L,302.2,0.3162145957732863,9.0,False,False,False,False,False,False
144,6305,L53484,L,301.1,0.31621459576187494,119.0,False,False,False,False,False,False
145,9675,L56854,L,300.0085898275486,0.31621459576918826,8.0,False,False,False,False,False,False
146,5938,M20797,M,300.6,0.3162145957576153,68.0,False,False,False,False,False,False
147,5352,M20211,M,303.5,0.3162145957617643,110.0,False,False,False,False,False,False
148,1138,L48317,L,300.0085898275486,0.3162145957675853,137.0,False,False,False,False,False,False
149,4335,L51514,L,301.6,0.31621459575827604,91.0,False,False,False,False,False,False
150,1842,L49021,L,297.7,0.3162145957681771,5.0,False,False,False,False,False,False
151,6523,L53702,L,301.1,0.31621459575935734,42.0,False,False,False,False,False,False
152,4327,L51506,L,301.6,0.316214595749834,70.0,True,False,True,False,False,False
153,7670,L54849,L,300.7,0.31621459574739774,189.0,True,False,False,False,True,False
154,7587,L54766,L,300.4,0.3162145957647905,191.0,False,False,False,False,False,False
155,8670,M23529,M,297.5,0.3162145957582108,152.0,False,False,False,False,False,False
156,5309,L52488,L,304.0,0.31621459575885497,213.0,False,False,False,False,False,False
157,1721,L48900,L,298.2,0.31621459575741334,89.0,False,False,False,False,False,False
158,2685,L49864,L,299.8,0.3162145957574809,25.0,False,False,False,False,False,False
159,4279,L51458,L,302.0,0.31621459575377764,172.0,False,False,False,False,False,False
160,5427,L52606,L,302.6,0.31621459576305316,58.0,False,False,False,False,False,False
161,4714,L51893,L,303.5,0.3162145957568664,173.0,False,False,False,False,False,False
162,9885,L57064,L,300.0085898275486,0.3162145957683695,141.0,False,False,False,False,False,False
163,1303,L48482,L,298.6,0.31621459576032923,144.0,False,False,False,False,False,True
164,4377,M19236,M,301.9,0.31621459576289657,211.0,False,False,False,False,False,False
165,6863,M21722,M,301.1,0.31621459575174937,48.0,False,False,False,False,False,False
166,8384,M23243,M,298.8,0.3162145957597269,60.0,False,False,False,False,False,False
167,6212,L53391,L,300.8,0.3162145957496535,91.0,False,False,False,False,False,False
168,3319,L50498,L,301.4,0.3162145957558063,108.0,False,False,False,False,False,False
169,4427,L51606,L,302.6,0.31621459575872757,105.0,False,False,False,False,False,False
170,7145,M22004,M,300.4,0.31621459576103034,149.0,False,False,False,False,False,False
171,2459,L49638,L,299.0,0.31621459575566147,108.0,False,False,False,False,False,False
172,9516,L56695,L,299.0,0.31621459576870986,49.0,False,False,False,False,False,False
173,2208,L49387,L,299.8,0.31621459576488503,108.0,False,False,False,False,False,False
174,9414,L56593,L,298.1,0.316214595756022,205.0,False,False,False,False,False,False
175,2603,L49782,L,299.4,0.31621459575514776,29.0,False,False,False,False,False,False
176,2788,M17647,M,300.3,0.3162145957614288,54.0,False,False,False,False,False,False
177,3739,M18598,M,302.3,0.31621459575707295,112.0,False,False,False,False,False,False
178,9590,L56769,L,299.2,0.31621459575827604,32.0,False,False,False,False,False,False
179,380,L47559,L,297.3,0.3162145957711789,125.0,False,False,False,False,False,False
180,1315,M16174,M,299.0,0.316214595766845,168.0,False,False,False,False,False,False
181,1128,M15987,M,296.7,0.3162145957683313,113.0,False,False,False,False,False,False
182,2016,L49195,L,298.5,0.3162145957437895,42.0,True,False,False,True,False,False
183,5611,L52790,L,303.1,0.3162145957536209,107.0,False,False,False,False,False,False
184,982,L48161,L,296.2,0.31621459576766553,136.0,False,False,False,False,False,False
185,8920,L56099,L,297.2,0.31621459576911565,188.0,False,False,False,False,False,False
186,9009,M23868,M,297.4,0.3162145957560935,190.0,False,False,False,False,False,False
187,5864,M20723,M,301.4,0.3162145957713039,88.0,False,False,False,False,False,False
188,4070,M18929,M,301.9,0.31621459575346317,80.0,False,False,False,False,False,False
189,5161,L52340,L,304.1,0.31621459575566147,43.0,False,False,False,False,False,False
190,9462,M24321,M,298.4,0.3162145957541655,128.0,False,False,False,False,False,False
191,3995,L51174,L,300.0085898275486,0.31621459575566147,133.0,False,False,False,False,False,False
192,5426,L52605,L,302.5,0.3162145957718223,56.0,False,False,False,False,False,False
193,4428,M19287,M,302.4,0.3162145957513252,107.0,True,False,True,False,False,False
194,6032,L53211,L,300.6,0.31621459575714145,82.0,False,False,False,False,False,False
195,9664,L56843,L,299.1,0.31621459575573396,229.0,True,False,False,False,True,False
196,2740,L49919,L,299.8,0.31621459576396677,158.0,False,False,False,False,False,False
197,7158,L54337,L,300.2,0.31621459575917027,182.0,False,False,False,False,False,False
198,7917,L55096,L,300.8,0.316214595760741,169.0,False,False,False,False,False,False
199,7776,L54955,L,300.3,0.31621459576798233,38.0,False,False,False,False,False,False
200,3079,M17938,M,300.1,0.3162145957486403,127.0,False,False,False,False,False,False
201,3348,L50527,L,301.3,0.3162145957617088,176.0,False,False,False,False,False,False
202,8800,L55979,L,297.3,0.31621459575827604,67.0,False,False,False,False,False,False
203,3614,L50793,L,301.7,0.3162145957632085,2.0,False,False,False,False,False,False
204,5701,L52880,L,300.0085898275486,0.31621459575984867,123.0,False,False,False,False,False,False
205,8388,L55567,L,298.8,0.3162145957488271,73.0,False,False,False,False,False,False
206,2102,L49281,L,299.3,0.3162145957616531,45.0,False,False,False,False,False,False
207,6471,L53650,L,300.4,0.3162145957513252,108.0,False,False,False,False,False,False
208,8348,L55527,L,298.7,0.31621459576806055,178.0,False,False,False,False,False,False
209,149,M15008,M,298.3,0.3162145957513252,181.0,False,False,False,False,False,False
210,1996,L49175,L,298.3,0.3162145957568664,196.0,False,False,False,False,False,False
211,8835,L56014,L,297.4,0.3162145957583411,167.0,False,False,False,False,False,False
212,7164,M22023,M,300.1,0.3162145957600903,195.0,False,False,False,False,False,False
213,4906,L52085,L,300.0085898275486,0.3162145957499239,7.0,False,False,False,False,False,False
214,5574,L52753,L,302.5,0.3162145957706667,14.0,False,False,False,False,False,False
215,1130,L48309,L,296.7,0.31621459576900607,119.0,False,False,False,False,False,False
216,157,M15016,M,298.4,0.3162145957597269,203.0,False,False,False,False,False,False
217,5560,M20419,M,302.5,0.3162145957568664,189.0,False,False,False,False,False,False
218,5523,L52702,L,302.6,0.31621459575700434,84.0,False,False,False,False,False,False
219,6482,L53661,L,300.7,0.3162145957535421,108.0,False,False,False,False,False,False
220,8112,M22971,M,300.4,0.3162145957630011,209.0,True,True,False,False,False,False
221,7243,H36656,H,299.9,0.31621459575658817,185.0,False,False,False,False,False,False
222,2678,L49857,L,299.8,0.3162145957597269,10.0,False,False,False,False,False,False
223,7165,M22024,M,300.2,0.316214595758406,198.0,False,False,False,False,False,False
224,5042,L52221,L,304.0,0.3162145957451765,144.0,False,False,False,False,False,False
225,2256,L49435,L,299.1,0.31621459576331135,30.0,False,False,False,False,False,False
226,8969,L56148,L,297.1,0.31621459575707295,94.0,False,False,False,False,False,False
227,2117,M16976,M,300.0085898275486,0.3162145957514957,88.0,False,False,False,False,False,False
228,5608,M20467,M,302.9,0.31621459577089317,98.0,False,False,False,False,False,False
229,2212,M17071,M,299.6,0.31621459573710037,120.0,False,False,False,False,False,False
230,1967,L49146,L,297.9,0.3162145957609151,118.0,False,False,False,False,False,False
231,2534,L49713,L,298.8,0.3162145957594194,71.0,False,False,False,False,False,False
232,7079,L54258,L,300.7,0.31621459574938054,199.0,False,False,False,False,False,False
233,5334,M20193,M,303.5,0.31621459575346317,62.0,False,False,False,False,False,False
234,9506,L56685,L,299.2,0.3162145957552956,23.0,False,False,False,False,False,False
235,5609,M20468,M,303.1,0.3162145957663323,101.0,False,False,False,False,False,False
236,7723,L54902,L,300.5,0.31621459575377764,104.0,False,False,False,False,False,False
237,1200,M16059,M,296.9,0.3162145957767058,68.0,False,False,False,False,False,False
238,3709,L50888,L,302.1,0.3162145957627915,31.0,False,False,False,False,False,False
239,2755,H32168,H,299.6,0.3162145957666333,194.0,False,False,False,False,False,False
240,2818,L49997,L,300.2,0.31621459575439553,129.0,False,False,False,False,False,False
241,6246,L53425,L,300.9,0.31621459575644784,180.0,False,False,False,False,False,False
242,7090,L54269,L,300.6,0.31621459576628885,3.0,False,False,False,False,False,False
243,1092,L48271,L,297.0,0.31621459575658817,8.0,False,False,False,False,False,False
244,1384,M16243,M,298.9,0.3162145957469063,121.0,False,False,False,False,False,False
245,8124,H37537,H,300.2,0.3162145957609151,27.0,False,False,False,False,False,False
246,4990,L52169,L,303.9,0.31621459575996985,7.0,False,False,False,False,False,False
247,2843,L50022,L,300.3,0.3162145957482633,192.0,False,False,False,False,False,False
248,7626,L54805,L,300.0085898275486,0.31621459576315686,76.0,False,False,False,False,False,False
249,6473,H35886,H,300.4,0.31621459576391714,126.0,False,False,False,False,False,False
250,1577,L48756,L,300.0085898275486,0.3162145957594194,170.0,False,False,False,False,False,False
251,2986,L50165,L,300.7,0.3162145957651192,123.0,False,False,False,False,False,False
252,6954,L54133,L,300.8,0.3162145957576153,75.0,False,False,False,False,False,False
253,4052,L51231,L,301.8,0.31621459575166505,37.0,False,False,False,False,False,False
254,8380,L55559,L,298.8,0.31621459576659067,49.0,False,False,False,False,False,False
255,9405,L56584,L,297.7,0.3162145957772226,181.0,False,False,False,False,False,False
256,2984,L50163,L,300.6,0.31621459574257005,119.0,False,False,False,False,False,False
257,5813,L52992,L,301.4,0.3162145957597269,193.0,False,False,False,False,False,False
258,5995,L53174,L,300.0085898275486,0.3162145957656688,221.0,False,False,False,False,False,False
259,695,L47874,L,297.6,0.3162145957525789,62.0,False,False,False,False,False,False
260,3638,M18497,M,302.2,0.316214595766462,62.0,False,False,False,False,False,False
261,4018,L51197,L,302.0,0.31621459577511557,188.0,False,False,False,False,False,False
262,786,M15645,M,296.9,0.31621459575984867,57.0,False,False,False,False,False,False
263,7237,M22096,M,299.8,0.3162145957574809,169.0,False,False,False,False,False,False
264,5184,M20043,M,303.9,0.3162145957750931,110.0,False,False,False,False,False,False
265,5569,L52748,L,302.5,0.31621459576198496,3.0,False,False,False,False,False,False
266,7472,L54651,L,300.3,0.3162145957501028,113.0,False,False,False,False,False,False
267,3144,H32557,H,300.6,0.31621459575454774,90.0,False,False,False,False,False,False
268,9563,M24422,M,299.7,0.31621459575573396,168.0,False,False,False,False,False,False
269,3440,L50619,L,301.4,0.3162145957595429,195.0,False,False,False,False,False,False
270,7682,L54861,L,300.7,0.3162145957563067,108.0,False,False,False,False,False,False
271,518,M15377,M,297.5,0.3162145957523327,34.0,False,False,False,False,False,False
272,8848,L56027,L,300.0085898275486,0.3162145957563067,0.0,False,False,False,False,False,False
273,7640,L54819,L,300.5,0.3162145957578818,112.0,False,False,False,False,False,False
274,5002,M19861,M,303.6,0.31621459577976335,37.0,False,False,False,False,False,False
275,309,L47488,L,297.9,0.31621459574422245,155.0,False,False,False,False,False,False
276,2261,H31674,H,299.1,0.316214595761259,40.0,False,False,False,False,False,False
277,5781,L52960,L,301.7,0.31621459576103034,113.0,False,False,False,False,False,False
278,75,L47254,L,298.9,0.31621459576535027,202.0,False,False,False,False,False,False
279,5581,M20440,M,300.0085898275486,0.3162145957573457,34.0,False,False,False,False,False,False
280,4160,M19019,M,302.0,0.3162145957670125,94.0,False,False,False,False,False,False
281,4075,L51254,L,302.0,0.31621459575700434,92.0,False,False,False,False,False,False
282,4322,L51501,L,301.7,0.3162145957688587,59.0,False,False,False,False,False,False
283,3087,L50266,L,300.0,0.3162145957657588,150.0,False,False,False,False,False,False
284,9633,M24492,M,299.0,0.31621459574749516,146.0,False,False,False,False,False,False
285,6462,L53641,L,300.6,0.31621459576032923,95.0,False,False,False,False,False,False
286,7678,L54857,L,300.6,0.3162145957552218,208.0,False,False,False,False,False,False
287,797,M15656,M,296.9,0.31621459577727623,86.0,False,False,False,False,False,False
288,1388,L48567,L,298.9,0.31621459577317984,131.0,False,False,False,False,False,False
289,6250,L53429,L,300.7,0.31621459576241917,191.0,False,False,False,False,False,False
290,2653,L49832,L,300.0085898275486,0.31621459577173233,167.0,False,False,False,False,False,False
291,9801,H39214,H,298.5,0.31621459575469907,124.0,False,False,False,False,False,False
292,5607,L52786,L,300.0085898275486,0.3162145957703698,96.0,False,False,False,False,False,False
293,2652,L49831,L,299.9,0.31621459577724054,165.0,False,False,False,False,False,False
294,5259,M20118,M,303.5,0.31621459576396677,84.0,False,False,False,False,False,False
295,5558,M20417,M,302.5,0.3162145957558063,184.0,False,False,False,False,False,False
296,412,L47591,L,297.5,0.3162145957552956,201.0,False,False,False,False,False,False
297,4153,M19012,M,302.0,0.3162145957549991,76.0,False,False,False,False,False,False
298,6843,L54022,L,301.2,0.316214595766845,211.0,False,False,False,False,False,False
299,7089,M21948,M,300.0085898275486,0.3162145957659373,0.0,False,False,False,False,False,False
300,8056,H37469,H,300.2,0.3162145957597879,60.0,False,False,False,False,False,False
301,3754,L50933,L,302.2,0.31621459575768224,150.0,False,False,False,False,False,False
302,3993,L51172,L,302.3,0.3162145957659373,129.0,False,False,False,False,False,False
303,2770,M17629,M,300.0,0.3162145957585995,108.0,False,False,False,False,False,False
304,6073,M20932,M,300.9,0.31621459576918826,188.0,False,False,False,False,False,False
305,5742,M20601,M,302.3,0.31621459575898164,8.0,False,False,False,False,False,False
306,1635,H31048,H,297.9,0.3162145957535421,93.0,False,False,False,False,False,False
307,7292,L54471,L,300.2,0.3162145957543191,90.0,False,False,False,False,False,False
308,4952,L52131,L,303.8,0.3162145957651192,134.0,False,False,False,False,False,False
309,8739,L55918,L,297.3,0.3162145957618197,116.0,False,False,False,False,False,False
310,7605,L54784,L,300.4,0.3162145957670125,24.0,False,False,False,False,False,False
311,5685,H35098,H,302.2,0.3162145957650259,82.0,False,False,False,False,False,False
312,574,L47753,L,297.9,0.31621459575827604,183.0,False,False,False,False,False,False
313,1359,M16218,M,298.7,0.31621459576911565,51.0,False,False,False,False,False,False
314,2838,L50017,L,300.3,0.31621459576933236,178.0,False,False,False,False,False,False
315,7382,L54561,L,300.0085898275486,0.3162145957597269,101.0,False,False,False,False,False,False
316,7657,L54836,L,300.5,0.31621459576236544,156.0,False,False,False,False,False,False
317,7193,M22052,M,300.2,0.3162145957552956,54.0,False,False,False,False,False,False
318,3151,L50330,L,300.4,0.3162145957607992,117.0,False,False,False,False,False,False
319,4683,L51862,L,303.6,0.31621459576371735,97.0,False,False,False,False,False,False
320,4260,L51439,L,302.7,0.3162145957625796,128.0,False,False,False,False,False,False
321,8778,H38191,H,297.5,0.31621459575885497,14.0,False,False,False,False,False,False
322,998,M15857,M,296.3,0.3162145957565181,180.0,False,False,False,False,False,False
323,6518,L53697,L,301.1,0.31621459576231153,28.0,False,False,False,False,False,False
324,4989,L52168,L,303.8,0.3162145957828972,5.0,True,False,False,True,False,False
325,432,L47611,L,297.5,0.3162145957565181,32.0,False,False,False,False,False,False
326,9670,L56849,L,299.1,0.3162145957661579,242.0,False,False,False,False,False,False
327,6467,L53646,L,300.4,0.3162145957707318,113.0,False,False,False,False,False,False
328,2251,M17110,M,299.2,0.31621459575274186,13.0,False,False,False,False,False,False
329,2266,M17125,M,299.2,0.3162145957468071,56.0,False,False,False,False,False,False
330,6500,L53679,L,300.9,0.31621459576829286,199.0,False,False,False,False,False,False
331,5232,L52411,L,303.8,0.3162145957573457,25.0,False,False,False,False,False,False
332,1584,L48763,L,298.2,0.31621459574475586,189.0,True,False,False,False,True,False
333,2764,L49943,L,299.8,0.31621459575948124,216.0,False,False,False,False,False,False
334,4277,M19136,M,300.0085898275486,0.3162145957572097,167.0,False,False,False,False,False,False
335,7953,M22812,M,300.9,0.31621459575879135,28.0,False,False,False,False,False,False
336,7524,M22383,M,300.1,0.31621459574807304,28.0,False,False,False,False,False,False
337,8771,L55950,L,297.4,0.31621459576863487,200.0,False,False,False,False,False,False
338,4324,L51503,L,301.8,0.3162145957478816,64.0,True,False,True,False,False,False
339,9434,M24293,M,298.0,0.3162145957553692,47.0,False,False,False,False,False,False
340,7624,L54803,L,300.6,0.3162145957705355,72.0,False,False,False,False,False,False
341,2647,M17506,M,299.8,0.31621459575700434,153.0,False,False,False,False,False,False
342,8931,L56110,L,297.4,0.31621459576391714,0.0,False,False,False,False,False,False
343,7611,M22470,M,300.5,0.3162145957604477,41.0,False,False,False,False,False,False
344,140,L47319,L,298.8,0.3162145957399969,155.0,False,False,False,False,False,False
345,2725,M17584,M,299.8,0.31621459575814537,119.0,False,False,False,False,False,False
